Locality,Latitude,Longitude
LANG LANG EAST,-38.312647,145.563979
MONOMEITH,-38.312647,145.563979
PIONEER BAY,-38.312647,145.563979
QUEENSFERRY,-38.312647,145.563979
TENBY POINT,-38.312647,145.563979
THE GURDIES,-38.312647,145.563979
COLAC,-38.311513,143.584742
COLAC EAST,-38.311513,143.584742
COLAC WEST,-38.311513,143.584742
ELLIMINYT,-38.311513,143.584742
NYORA,-38.309048,145.689142
BELLBRAE,-38.307545,144.299978
BELLS BEACH,-38.307545,144.299978
JAN JUC,-38.307545,144.299978
TORQUAY,-38.307545,144.299978
HASTINGS,-38.305806,145.136622
TUERONG,-38.305806,145.136622
MAILER FLAT,-38.301794,142.457611
MAILORS FLAT,-38.301794,142.457611
GORMANDALE,-38.298267,146.708775
PURNIM WEST,-38.29668931,142.554533
THORPDALE,-38.290637,146.175271
CODRINGTON,-38.290199,142.058916
NARRAWONG,-38.290199,142.058916
ROSEBROOK,-38.290199,142.058916
ST HELENS,-38.290199,142.058916
TOOLONG,-38.290199,142.058916
TYRENDARRA,-38.290199,142.058916
TYRENDARRA EAST,-38.290199,142.058916
YAMBUK,-38.290199,142.058916
COROROOKE,-38.289636,143.52228
MOUNT MARTHA,-38.2783,145.031598
PURNIM,-38.278013,142.624719
POINT LONSDALE,-38.271074,144.614191
QUEENSCLIFF,-38.271074,144.614191
SWAN BAY,-38.271074,144.614191
SWAN ISLAND,-38.271074,144.614191
ORFORD,-38.270398,142.119266
PORT FAIRY,-38.270398,142.119266
FRESHWATER CREEK,-38.27029834,144.249583
ILLOWA,-38.268176,142.351658
KOROIT,-38.268176,142.351658
OCEAN GROVE,-38.263811,144.523761
BARWON HEADS,-38.263052,144.40814
BREAMLEA,-38.263052,144.40814
CONNEWARRE,-38.263052,144.40814
BUCKLEY,-38.263005,144.174411
GHERANG,-38.263005,144.174411
MODEWARRE,-38.263005,144.174411
MORIAC,-38.263005,144.174411
MOUNT MORIAC,-38.263005,144.174411
PARAPARAP,-38.263005,144.174411
TYABB,-38.262273,145.166426
MOOROODUC,-38.261168,145.096992
TORWOOD,-38.25783442,145.8742873
BUSHFIELD,-38.254454,142.630109
GRASSMERE,-38.254454,142.630109
WINSLOW,-38.254454,142.630109
WOODFORD,-38.254454,142.630109
MOUNT DUNEED,-38.24983474,144.3127944
CHILDERS,-38.245649,146.16397
NARRACAN,-38.245649,146.16397
THORPDALE SOUTH,-38.245649,146.16397
TRAFALGAR,-38.245649,146.16397
TRAFALGAR EAST,-38.245649,146.16397
TRAFALGAR SOUTH,-38.245649,146.16397
DRIFFIELD,-38.245215,146.424457
HAZELWOOD,-38.245215,146.424457
HAZELWOOD NORTH,-38.245215,146.424457
HAZELWOOD SOUTH,-38.245215,146.424457
JEERALANG,-38.245215,146.424457
JEERALANG JUNCTION,-38.245215,146.424457
MARYVALE,-38.245215,146.424457
MID VALLEY,-38.245215,146.424457
MORWELL,-38.245215,146.424457
MORWELL EAST,-38.245215,146.424457
MORWELL UPPER,-38.245215,146.424457
ALLESTREE,-38.235475,141.437227
BOLWARRA,-38.235475,141.437227
CAPE BRIDGEWATER,-38.235475,141.437227
CASHMORE,-38.235475,141.437227
DUTTON WAY,-38.235475,141.437227
GORAE,-38.235475,141.437227
GORAE WEST,-38.235475,141.437227
HEATHMERE,-38.235475,141.437227
MOUNT RICHMOND,-38.235475,141.437227
PORTLAND,-38.235475,141.437227
PORTLAND NORTH,-38.235475,141.437227
PORTLAND WEST,-38.235475,141.437227
ARMSTRONG CREEK,-38.23413976,144.3707843
TERANG,-38.232443,142.884394
MORNINGTON,-38.230038,145.049503
WALLINGTON,-38.22638039,144.5118946
GIFFARD,-38.224191,147.106181
GUTHRIDGE,-38.224191,147.106181
SALE,-38.224191,147.106181
SALE NORTH,-38.224191,147.106181
WURRUK,-38.224191,147.106181
PEARCEDALE,-38.217991,145.227373
SOMERVILLE,-38.217991,145.227373
BELMONT,-38.215906,144.334005
FRESHWATER CREEK,-38.215906,144.334005
GROVEDALE,-38.215906,144.334005
GROVEDALE EAST,-38.215906,144.334005
HIGHTON,-38.215906,144.334005
MARSHALL,-38.215906,144.334005
MOUNT DUNEED,-38.215906,144.334005
WANDANA HEIGHTS,-38.215906,144.334005
WAURN PONDS,-38.215906,144.334005
CHARLEMONT,-38.21558906,144.3683696
BALLANGEICH,-38.214555,142.657483
WANGOOM,-38.214555,142.657483
ALLAMBEE,-38.210382,146.065656
YARRAGON,-38.210382,146.065656
YARRAGON SOUTH,-38.210382,146.065656
CLIFTON SPRINGS,-38.209921,144.572989
CURLEWIS,-38.209921,144.572989
DRYSDALE,-38.209921,144.572989
MANNERIM,-38.209921,144.572989
MARCUS HILL,-38.209921,144.572989
BOOKAAR,-38.209584,143.244766
BOSTOCKS CREEK,-38.209584,143.244766
BUNGADOR,-38.209584,143.244766
CAMPERDOWN,-38.209584,143.244766
CARPENDEIT,-38.209584,143.244766
CHOCOLYN,-38.209584,143.244766
GNOTUK,-38.209584,143.244766
KARIAH,-38.209584,143.244766
KOALLAH,-38.209584,143.244766
LESLIE MANOR,-38.209584,143.244766
POMBORNEIT,-38.209584,143.244766
POMBORNEIT NORTH,-38.209584,143.244766
SKIBO,-38.209584,143.244766
SOUTH PURRUMBETE,-38.209584,143.244766
STONYFORD,-38.209584,143.244766
TANDAROOK,-38.209584,143.244766
TESBURY,-38.209584,143.244766
WEERITE,-38.209584,143.244766
BONA VISTA,-38.207476,145.922212
LILLICO,-38.207476,145.922212
WARRAGUL,-38.207476,145.922212
BAYLES,-38.207298,145.575
CATANI,-38.207298,145.575
DALMORE,-38.207298,145.575
HEATH HILL,-38.207298,145.575
KOO WEE RUP,-38.207298,145.575
KOO WEE RUP NORTH,-38.207298,145.575
YANNATHAN,-38.207298,145.575
BLIND BIGHT,-38.204448,145.356937
TOORADIN,-38.204448,145.356937
WARNEET,-38.204448,145.356937
BAMBRA,-38.20363,143.892824
OMBERSLEY,-38.20363,143.892824
WENSLEYDALE,-38.20363,143.892824
WINCHELSEA,-38.20363,143.892824
WINCHELSEA SOUTH,-38.20363,143.892824
WURDIBOLUC,-38.20363,143.892824
LEOPOLD,-38.202905,144.462401
DEAKIN UNIVERSITY,-38.200349,144.301029
BAXTER,-38.196908,145.169556
LANGWARRIN SOUTH,-38.196908,145.169556
SEYMOUR,-38.195993,146.535346
KUNYUNG,-38.195017,145.093743
MOUNT ELIZA,-38.195017,145.093743
CLOVERLEA,-38.194379,145.989901
DARNUM,-38.194379,145.989901
GAINSBOROUGH,-38.194379,145.989901
LAW COURTS,-38.185857,146.293728
BESSIEBELLE,-38.182084,141.952156
DARTMOOR,-38.182084,141.952156
DRIK DRIK,-38.182084,141.952156
DRUMBORG,-38.182084,141.952156
GREENWALD,-38.182084,141.952156
HEYWOOD,-38.182084,141.952156
HOMERTON,-38.182084,141.952156
LYONS,-38.182084,141.952156
MILLTOWN,-38.182084,141.952156
MUMBANNAR,-38.182084,141.952156
MYAMYN,-38.182084,141.952156
WINNAP,-38.182084,141.952156
ANAKIE,-38.181608,144.427419
BARRABOOL,-38.181608,144.427419
BATESFORD,-38.181608,144.427419
BELLARINE,-38.181608,144.427419
CERES,-38.181608,144.427419
FYANSFORD,-38.181608,144.427419
GEELONG MC,-38.181608,144.427419
GNARWARRE,-38.181608,144.427419
GREY RIVER,-38.181608,144.427419
KENNETT RIVER,-38.181608,144.427419
LOVELY BANKS,-38.181608,144.427419
MOOLAP,-38.181608,144.427419
MOORABOOL,-38.181608,144.427419
MURGHEBOLUC,-38.181608,144.427419
SEPARATION CREEK,-38.181608,144.427419
STAUGHTON VALE,-38.181608,144.427419
STONEHAVEN,-38.181608,144.427419
SUGARLOAF,-38.181608,144.427419
WALLINGTON,-38.181608,144.427419
WONGARRA,-38.181608,144.427419
WYE RIVER,-38.181608,144.427419
WOOLSTHORPE,-38.180923,142.409105
MOOLAP,-38.17988326,144.4248188
BOORCAN,-38.178237,142.952372
CUDGEE,-38.178237,142.952372
DIXIE,-38.178237,142.952372
ECKLIN SOUTH,-38.178237,142.952372
ELLERSLIE,-38.178237,142.952372
FRAMLINGHAM,-38.178237,142.952372
FRAMLINGHAM EAST,-38.178237,142.952372
GARVOC,-38.178237,142.952372
GLENORMISTON NORTH,-38.178237,142.952372
GLENORMISTON SOUTH,-38.178237,142.952372
KOLORA,-38.178237,142.952372
LAANG,-38.178237,142.952372
NOORAT,-38.178237,142.952372
NOORAT EAST,-38.178237,142.952372
PANMURE,-38.178237,142.952372
TAROON,-38.178237,142.952372
THE SISTERS,-38.178237,142.952372
BREAKWATER,-38.17277,144.389533
EAST GEELONG,-38.17277,144.389533
NEWCOMB,-38.17277,144.389533
ST ALBANS PARK,-38.17277,144.389533
THOMSON,-38.17277,144.389533
WHITTINGTON,-38.17277,144.389533
HIAMDALE,-38.166213,146.772991
NAMBROK,-38.166213,146.772991
ROSEDALE,-38.166213,146.772991
WILLUNG,-38.166213,146.772991
FRANKSTON,-38.162578,145.135961
FRANKSTON EAST,-38.162578,145.135961
FRANKSTON HEIGHTS,-38.162578,145.135961
FRANKSTON SOUTH,-38.162578,145.135961
KARINGAL,-38.162578,145.135961
KARINGAL CENTRE,-38.162578,145.135961
BAREENA,-38.157038,144.34652
GEELONG,-38.157038,144.34652
NEWTOWN,-38.157038,144.34652
SOUTH GEELONG,-38.157038,144.34652
LANGWARRIN,-38.156369,145.198328
BEEAC,-38.155186,143.648479
CUNDARE NORTH,-38.155186,143.648479
EURACK,-38.155186,143.648479
WEERING,-38.155186,143.648479
INDENTED HEAD,-38.147989,144.668477
PORTARLINGTON,-38.147989,144.668477
ST LEONARDS,-38.147989,144.668477
BOTANIC RIDGE,-38.1466398,145.2695101
CUNDARE,-38.146253,143.5923322
GEELONG WEST,-38.138728,144.330986
HERNE HILL,-38.138728,144.330986
MANIFOLD HEIGHTS,-38.138728,144.330986
BELLARINE,-38.13622989,144.6217267
CANNONS CREEK,-38.135253,145.268888
CRANBOURNE,-38.135253,145.268888
CRANBOURNE EAST,-38.135253,145.268888
CRANBOURNE NORTH,-38.135253,145.268888
CRANBOURNE SOUTH,-38.135253,145.268888
CRANBOURNE WEST,-38.135253,145.268888
DEVON MEADOWS,-38.135253,145.268888
FIVE WAYS,-38.135253,145.268888
JUNCTION VILLAGE,-38.135253,145.268888
SKYE,-38.135253,145.268888
CARDINIA,-38.135009,145.384606
